60,98,68,12,8,-86,false
76,102,96,122,20,20,true
71,94,72,95,1,1,true
79,106,90,114,11,8,true
86,122,91,117,5,-5,false
71,99,79,110,8,11,true
77,94,84,104,7,10,true
85,114,96,115,11,1,true
73,98,78,112,5,14,true
69,102,67,93,2,9,true
70,109,99,119,29,10,true
90,111,100,123,10,12,true
73,112,76,115,3,3,true
95,121,81,109,14,12,true
95,120,83,112,12,8,true
84,104,88,108,4,4,true
71,97,77,109,6,12,true
74,99,63,90,11,9,true
72,102,62,89,10,13,true
103,126,88,115,15,11,true
70,107,90,123,20,16,true
80,100,97,119,17,19,true
82,105,67,90,15,15,true
88,112,66,95,22,17,true
95,125,97,127,2,2,true
79,95,98,126,19,31,true
65,92,78,101,13,9,true
80,103,78,108,2,-5,false
81,117,70,97,11,20,true
71,100,92,119,21,19,true
82,110,81,106,1,4,true
87,115,85,106,2,9,true
83,110,66,101,17,9,true
99,130,92,127,7,3,true
90,123,95,114,5,-9,false
85,114,91,109,6,-5,false
90,125,83,114,7,11,true
74,94,75,104,1,10,true
98,136,94,130,4,6,true
72,99,79,107,7,8,true
74,98,85,105,11,7,true
77,96,87,116,10,20,true
74,94,66,99,8,-5,false
84,108,90,116,6,8,true
83,103,79,108,4,-5,false
89,128,103,114,14,-14,false
76,99,76,104,0,5,true
70,99,76,104,6,5,true
98,123,79,100,19,23,true
78,110,88,116,10,6,true
91,111,72,91,19,20,true
77,104,87,107,10,3,true
75,94,72,99,3,-5,false
95,115,97,123,2,8,true
88,113,83,98,5,15,true
98,117,86,121,12,-4,false
81,106,74,93,7,13,true
107,137,75,108,32,29,true
94,114,72,92,22,22,true
80,114,119,141,39,27,true
102,130,91,114,11,16,true
82,113,96,136,14,23,true
80,103,71,84,9,19,true
66,89,75,106,9,17,true
76,104,75,96,1,8,true
75,102,86,99,11,-3,false
69,94,89,122,20,28,true
86,111,93,123,7,12,true
67,92,76,111,9,19,true
69,98,62,101,7,-3,false
87,106,89,120,2,14,true
80,98,95,110,15,12,true
81,109,83,108,2,-1,false
75,112,92,128,17,16,true
